category_group,category,name,description,new,type
Artificial Intelligence & Machine Learning,Data Science & Analytics Tools,Data App Frameworks,"Frameworks for building and sharing interactive data applications with minimal coding, empowering data scientists and developers to rapidly prototype and deploy data-driven tools.",,horizontal
Data Infrastructure & Analytics,Data Governance & Management,Data Catalogs & Lineage,Systems for documenting and tracking data assets and their relationships.,,horizontal
Programming Languages & Frameworks,Data Compression,Data Compression Libraries,Libraries that provide fast and efficient data compression and decompression algorithms for real-time applications.,,horizontal
Programming Languages & Frameworks,Data Fetching & Caching,Data Fetching & Caching Libraries,"Libraries that provide abstractions for asynchronous data fetching, caching, and server state management in web applications.",,horizontal
Artificial Intelligence & Machine Learning,Data Labeling,Data Labeling & Annotation Tools,Tools for labeling and annotating diverse types of datasets to prepare data for machine learning model training and evaluation.,,horizontal
Data Infrastructure & Analytics,Large-Scale Data Storage,Data Lakes & Lakehouses,"Unified systems bridging raw data storage with ACID transactions, merges, and advanced analytics—sitting at the intersection of data lakes and traditional warehouses.",,horizontal
Data Infrastructure & Analytics,Table Formats,Data Lake Table Formats,"Projects providing structured table abstractions on top of data lakes that enable ACID transactions, schema evolution, and time travel for large-scale analytic data.",,horizontal
Programming Languages & Frameworks,Data Modeling & Validation,Data Modeling & Validation Libraries,"Libraries that provide tools for parsing, validating, and transforming data using language-native features such as type hints.",,horizontal
Data Infrastructure & Analytics,Data Governance & Management,Data Quality & Preparation,"Tools for cleaning, validating, and standardizing data for analysis.",,horizontal
Observability & Analysis,Telemetry Collection Tools,Data Shippers,"Lightweight agents that collect and forward logs, metrics, and other telemetry data to centralized systems such as Elasticsearch or Logstash.",,horizontal
Artificial Intelligence & Machine Learning,Data Science & Analytics Tools,Data Visualization Libraries,Tools for creating informative and interactive visual representations of data.,,horizontal
Data Infrastructure & Analytics,DataFrame Libraries,DataFrame Libraries,"High-performance libraries providing in‐memory dataframes for efficient data manipulation, analysis, and processing. This collection covers projects that offer a full API for working with tabular data with vectorized operations and out‐of‐core capabilities.",,horizontal
Application Definition and Development,Databases,Admin & Migration Utilities,"Tools for managing relational or NoSQL databases—covering administrative dashboards, schema migrations, and version tracking in continuous delivery.",,horizontal
Application Definition and Development,Databases,Database Connection Pool Tools,Libraries that provide managed pooling of database connections to optimize resource usage and performance – with built‑in monitoring capabilities – for relational and other databases.,,horizontal
Application Definition and Development,Databases,Database Drivers,Client libraries providing low-level access and connectivity to relational databases via native drivers.,,horizontal
Data Infrastructure & Analytics,Dataframe Interoperability,Dataframe Compatibility Layers,"A compatibility layer that provides a unified API for multiple dataframe libraries (e.g. pandas, modin, dask, polars, etc.), enabling seamless interoperability and easier switching between them.",,horizontal
Artificial Intelligence & Machine Learning,Machine Learning,Dataset Libraries,"Libraries and hubs providing access to ready-to-use datasets for machine learning, NLP, computer vision, and other data-intensive tasks.",,horizontal
Programming Languages & Frameworks,Temporal Utilities,Date & Time Libraries,"Libraries for parsing, formatting, and manipulating dates, times, and calendars in programming languages.",,horizontal
Developer Tools,Debugging Tools,Debugging & Backtrace Tools,Libraries and utilities for capturing stack traces and debugging runtime errors in applications.,,horizontal
Developer Tools,Debugging Tools,Debugging Utilities,Lightweight libraries and tools for enabling and managing debugging output in applications.,,horizontal
Blockchain & Distributed Ledger,Decentralized Application Development,Decentralized Application Frameworks,"Frameworks for building decentralized applications using distributed, peer-to-peer networks without relying on global consensus mechanisms.",,horizontal
Blockchain & Distributed Ledger,Distributed Storage & Web3,Decentralized Identity & Networking,Protocols and platforms for self-sovereign identity management and decentralized communication networks.,,horizontal
